gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
NGF,Ast,1.14088344328686,0.404797972515622,6.40745683624718,0.0129749776565911,0.999832779694255,0.999965408587589,Low_vs_Not_AD
SRGAP2B,Ast,-0.587205775771634,3.07495240382982,6.798654119807,0.0108318515352379,0.999832779694255,0.999965408587589,Low_vs_Not_AD
IL6R-AS1,Ast,1.27595868246112,0.783084063346026,8.21646320160221,0.00516084971805944,0.999832779694255,0.999965408587589,Low_vs_Not_AD
MEX3A,Ast,-0.935359370358712,0.956356258652227,6.11799246381692,0.0153015518043933,0.999832779694255,0.999965408587589,Low_vs_Not_AD
TSACC,Ast,-0.763178875495268,0.902282275259796,6.2582680892733,0.0142089064318277,0.999832779694255,0.999965408587589,Low_vs_Not_AD
CRABP2,Ast,1.02797401090127,0.120734908599541,7.50539536419257,0.00727272846611708,0.999832779694255,0.999965408587589,Low_vs_Not_AD
CASQ1,Ast,-0.66690243738978,1.33637575095778,4.43900029326286,0.038093164130815,0.999832779694255,0.999965408587589,Low_vs_Not_AD
UAP1,Ast,0.987782213496791,4.14724543262595,7.23552983031619,0.00865010587291326,0.999832779694255,0.999965408587589,Low_vs_Not_AD
CD247,Ast,-0.547273274268841,2.61301946093812,4.50249495154834,0.0368576372527525,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL136456.1,Ast,0.609905727967757,2.81623243328588,4.96990729601705,0.028522057469415,0.999832779694255,0.999965408587589,Low_vs_Not_AD
GPR37L1,Ast,0.569653354355335,6.49796580196787,4.23682143864412,0.0427112718959103,0.999832779694255,0.999965408587589,Low_vs_Not_AD
PPFIA4,Ast,0.6719336653993,4.37727497573508,7.27558838260035,0.00847408378363343,0.999832779694255,0.999965408587589,Low_vs_Not_AD
NUAK2,Ast,-0.883899308399743,1.93073044632316,6.96257400062937,0.00994388568256424,0.999832779694255,0.999965408587589,Low_vs_Not_AD
RHEX,Ast,1.40906372755075,0.0938440963335882,4.68947661078838,0.0326354058972713,0.999832779694255,0.999965408587589,Low_vs_Not_AD
DYRK3,Ast,0.564626610848452,3.95479611241441,4.80612229988906,0.0311796269924243,0.999832779694255,0.999965408587589,Low_vs_Not_AD
LAMB3,Ast,-0.690703256772603,0.187018836383544,6.0582921195584,0.0155505907343418,0.999832779694255,0.999965408587589,Low_vs_Not_AD
G0S2,Ast,-2.3156135457001,1.05792894939686,14.2032284765862,0.000291259511137259,0.963535006093909,0.575548237538739,Low_vs_Not_AD
TRAF3IP3,Ast,-0.821152702377292,0.256284515306481,4.75449946306252,0.0315816576299577,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AC096637.1,Ast,2.18444593737557,2.47612041778605,9.45015959506079,0.00285880741989354,0.999832779694255,0.94756629727406,Low_vs_Not_AD
WNT9A,Ast,1.88267264576246,0.281300475652778,10.6237128792903,0.00152630943846264,0.999832779694255,0.828309605551369,Low_vs_Not_AD
AL670729.2,Ast,1.76420992579797,0.364812211866625,7.33231749380084,0.00794027978652916,0.999832779694255,0.999965408587589,Low_vs_Not_AD
LINC01354,Ast,0.608728785471773,3.33803400388185,5.04637957443484,0.0273576502154506,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL356010.2,Ast,0.831811780526132,-0.0772450168856242,5.57135048432378,0.0200731589471809,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL359764.3,Ast,0.851024066945488,1.73325150548855,8.78596623011516,0.00395793046038631,0.999832779694255,0.986756069146708,Low_vs_Not_AD
AL591686.1,Ast,1.869312226046,-0.0863672574697477,8.37565372026493,0.00458974381658956,0.999832779694255,0.986756069146708,Low_vs_Not_AD
AC018685.2,Ast,1.03714020354157,0.010539423366054,9.08546433446792,0.00323714092618478,0.999832779694255,0.956997454430014,Low_vs_Not_AD
AC010096.1,Ast,0.859998651207001,-0.0365305303265388,4.72295869716772,0.0320219890987036,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AC096570.2,Ast,1.14837494030676,0.116813448039418,4.55867398109185,0.0350522257726071,0.999832779694255,0.999965408587589,Low_vs_Not_AD
